id,origin_name,result_nums,final_name,type,errorcode,certified,hasany
446,三厂烩羊肉,6,三厂烩羊肉,正确,0,,
545,三支羊,0,三只羊烧烤,正确,0,,
490,森虎虾尾,21,森虎虾尾,正确,0,,
240,沙县,600,沙县小吃,正确,0,,
57,沙县小吃,566,沙县小吃,正确,0,,
99,沙县小吃，粥店,0,沙县小吃,正确,0,,
162,山上下,1,山上下,正确,0,,
171,汕锦记,6,汕锦记潮汕牛肉火锅,正确,0,FALSE,1
337,申家大院,2,申家大院,正确,0,FALSE,
179,舒来喜鱼锅,9,舒来喜鱼锅,正确,0,FALSE,
415,水浒烤肉,41,水浒烤肉,正确,0,FALSE,
12,顺城羊肉鲜汤,1,顺城羊肉鲜汤,正确,0,,
321,四季同达生态园,2,四季同达生态园,正确,0,FALSE,
100,宋老三苏肉,2,宋老三苏肉,正确,0,FALSE,
298,苏记胡辣汤,1,苏记胡辣汤,正确,0,,
88,苏氏牛肉面,6,苏氏牛肉面,正确,0,FALSE,
289,岁岁羊,1,岁岁羊火锅,正确,0,,
121,踏脸网烤,0,踏脸网烧,正确,0,FALSE,1
259,谭鸭血,5,谭鸭血老火锅,正确,0,TRUE,
83,涛哥麻辣鱼,0,涛哥魚火锅,正确,0,,
130,特味村美食生态园,1,特味村美食生态园,正确,0,,
276,天堂鸟,5,天堂鸟,正确,0,FALSE,
188,田王兔肉店,1,田王兔肉店,正确,0,,
378,铁板诱惑二七万达店,0,铁板诱惑法式铁板烧,正确,0,FALSE,
283,同胜祥,14,同胜祥,正确,0,FALSE,
25,土大力,13,土大力,正确,0,FALSE,1
95,蛙来哒,1,蛙来哒,正确,0,FALSE,
234,瓦库茶馆17号,1,瓦库茶馆17号,正确,0,,
416,外公的饺子外婆的面,2,外公的饺子外婆的面,正确,0,,
186,外婆家,19,外婆家,正确,0,TRUE,
207,王春光,35,王春光早餐工程,正确,0,FALSE,
165,王春光早餐,16,王春光早餐工程,正确,0,FALSE,
74,王春光早餐店,0,王春光早餐工程,正确,0,FALSE,
85,王春光早餐工程,13,王春光早餐工程,正确,0,FALSE,
7,王婆大虾,189,王婆大虾,正确,0,FALSE,
532,闻香居骨头城,0,生记闻香居,正确,0,,
392,巫山烤鱼,13,巫山烤鱼,正确,0,,
180,无名缘米粉,12,无名缘米粉,正确,0,,
529,毋米粥,4,毋米粥开煲,正确,0,FALSE,
73,五号公路,0,5号公路餐厅,正确,0,TRUE,
369,西贝莜面,1,西贝莜面村,正确,0,TRUE,
449,西贝莜面村,1,西贝莜面村,正确,0,TRUE,
196,西部大盘鸡,82,西部大盘鸡,正确,0,FALSE,
160,西关味,7,西关味,正确,0,FALSE,1
400,熙长安,1,熙长安,正确,0,FALSE,
221,喜虾客,12,喜虾客,正确,0,FALSE,1
225,喜虾客无限城店,0,喜虾客,正确,0,FALSE,1
117,乡村大盘鸡,7,乡村大盘鸡,正确,0,FALSE,
293,乡村大食堂,4,乡村大食堂,正确,0,,
500,香天下大酒店,0,香天下,正确,0,FALSE,
118,湘菜园,1,湘菜园,正确,0,,
140,湘聚,5,湘聚楼,正确,0,,
395,象朴泰式浓汤市集,1,象朴泰式浓汤市集,正确,0,,
355,逍遥镇胡辣汤,380,逍遥镇胡辣汤,正确,0,FALSE,
6,小V家秘制火锅鸡,5,小V家秘制火锅鸡,正确,0,FALSE,
580,小城固始,4,小城固始,正确,0,,
126,小李烧烤,2,小李烧烤,正确,0,,
31,小六家,3,小六家,正确,0,FALSE,
437,小六家拌面,2,小六家,正确,0,FALSE,
583,小六汤包,3,小六汤包,正确,0,,
